================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۱_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 2183
================================================================================

[00:36:43.559 --> 00:36:47.052] doctor
[00:36:59.978 --> 00:37:05.024] patient_1
[00:37:07.319 --> 00:37:10.289] patient_1
[00:37:10.913 --> 00:37:12.550] patient_1
[00:37:13.040 --> 00:37:17.815] patient_1
[00:37:13.107 --> 00:37:15.149] doctor
[00:37:18.659 --> 00:37:23.215] patient_1
[00:37:24.734 --> 00:37:25.966] patient_1
[00:37:26.219 --> 00:37:30.657] patient_1
[00:37:32.260 --> 00:37:55.058] patient_1
[00:37:42.740 --> 00:37:43.583] doctor
[00:37:44.039 --> 00:37:44.680] doctor
[00:37:58.973 --> 00:38:00.880] patient_1
[00:38:02.399 --> 00:38:27.205] patient_1
[00:38:03.378 --> 00:38:04.373] doctor
[00:38:05.825 --> 00:38:07.968] doctor
[00:38:08.828 --> 00:38:18.953] doctor
[00:38:20.168 --> 00:38:20.557] doctor
[00:38:22.177 --> 00:38:24.067] doctor
[00:38:27.644 --> 00:38:45.869] patient_1
[00:38:29.922 --> 00:38:31.795] doctor
[00:38:32.757 --> 00:38:33.382] doctor
[00:38:34.259 --> 00:38:35.322] doctor
[00:38:46.460 --> 00:38:50.037] patient_1
[00:38:51.860 --> 00:39:02.272] patient_1
[00:38:52.197 --> 00:38:52.923] doctor
[00:38:54.880 --> 00:38:55.808] doctor
[00:38:57.445 --> 00:39:05.984] doctor
[00:39:06.288 --> 00:39:07.317] doctor
[00:39:07.925 --> 00:39:34.857] doctor
[00:39:35.026 --> 00:39:39.903] doctor
[00:39:40.207 --> 00:39:41.978] doctor
[00:39:43.548 --> 00:39:56.963] doctor
[00:39:51.715 --> 00:39:53.470] patient_1
[00:39:54.955 --> 00:39:56.609] patient_1
[00:40:00.031 --> 00:40:01.043] doctor
[00:40:01.111 --> 00:40:08.435] doctor
[00:40:01.600 --> 00:40:02.039] patient_1
[00:40:08.992 --> 00:40:23.875] doctor
[00:40:09.363 --> 00:40:10.730] patient_1
[00:40:11.557 --> 00:40:18.661] patient_1
[00:40:21.563 --> 00:40:22.255] patient_1
[00:40:24.652 --> 00:40:26.305] doctor
[00:40:26.913 --> 00:40:40.379] doctor
[00:40:27.267 --> 00:40:28.010] patient_1
[00:40:29.056 --> 00:40:33.173] patient_1
[00:40:33.477 --> 00:40:33.916] patient_1
[00:40:40.784 --> 00:40:43.940] doctor
[00:40:45.695 --> 00:40:47.281] doctor
[00:40:49.154 --> 00:40:49.559] doctor
[00:40:50.993 --> 00:41:05.000] doctor
[00:40:51.854 --> 00:40:52.445] patient_1
[00:40:54.571 --> 00:40:56.174] patient_1
[00:40:56.765 --> 00:40:58.334] patient_1
[00:41:08.054 --> 00:41:15.125] doctor
[00:41:11.362 --> 00:41:11.817] patient_1
[00:41:13.640 --> 00:41:14.787] patient_1
[00:41:15.462 --> 00:41:25.064] doctor
[00:41:15.732 --> 00:41:17.639] patient_1
[00:41:19.529 --> 00:41:21.470] patient_1
[00:41:22.803 --> 00:41:24.794] patient_1
[00:41:27.275 --> 00:41:30.785] doctor
[00:41:30.903 --> 00:41:32.455] doctor
[00:41:40.589 --> 00:41:44.993] doctor
[00:41:49.803 --> 00:41:50.427] doctor
[00:41:51.203 --> 00:41:53.515] doctor
[00:41:55.625 --> 00:41:56.890] doctor
[00:41:57.835 --> 00:42:00.620] doctor
[00:42:09.968 --> 00:42:13.563] doctor
[00:42:14.609 --> 00:42:15.352] doctor
[00:42:16.263 --> 00:42:35.888] doctor
[00:42:18.001 --> 00:42:18.659] patient_1
[00:42:25.510 --> 00:42:27.873] patient_1
[00:42:29.442 --> 00:42:31.501] patient_1
[00:42:36.547 --> 00:42:42.993] doctor
[00:42:40.040 --> 00:42:42.520] patient_1
[00:42:46.503 --> 00:42:54.417] doctor
[00:42:50.097 --> 00:42:52.325] patient_1
